fc_arr       scurve
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.231460 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.462920 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.694380 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.925840 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
1.157300  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 1.388760 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 1.620219 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 1.851679 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
0.000000  0.000000 0.000000 0.000000 0.000000 
